team,date,home,neutral,opponent,tmPts,oppPts,OT,tmWeek,oppWeek,week,tmSprd,oppSprd,OU,season,month,day,year,code,tmWin,tmATSWin,tmOver,tmWinSeas,tmLosSeas,tmWinStrk,tmLosStrk,tmATSWinSeas,tmATSLosSeas,tmATSWinStrk,tmATSLosStrk,tmOVRSeas,tmUDRSeas,tmOVRStrk,tmUDRStrk,opWin,opATSWin,opOver,opWinSeas,opLosSeas,opWinStrk,opLosStrk,opATSWinSeas,opATSLosSeas,opATSWinStrk,opATSLosStrk,opOVRSeas,opUDRSeas,opOVRStrk,opUDRStrk
ARI,12/16/2012,1,0,DET,38,10,0,14,14,15,6,-6,43.5,2012,12,16,2012,2ARIDET//12//16//2012,1,1,1,4,9,0,9,5.5,7.5,0,1,4,9,1,0,-1,-1,1,4,9,0,5,5,8,0,2,8.5,4.5,0,1
ARI,12/11/2014,0,0,LAR,12,6,0,14,14,15,6,-6,40.5,2014,12,11,2014,1LARARI//12//11//2014,1,1,-1,10,3,1,0,9,4,1,0,4.5,8.5,0,1,-1,-1,-1,6,7,2,0,7,6,4,0,7,6,0,1
ARI,10/8/2017,0,0,PHI,7,34,0,5,5,5,6,-6,45,2017,10,8,2017,1PHIARI//10//8//2017,-1,-1,-1,2,2,1,0,0,4,0,4,1,3,0,3,1,1,-1,3,1,2,0,2,2,1,0,3,1,3,0
ARI,11/9/2017,1,0,SEA,16,22,0,9,9,10,6,-6,40,2017,11,9,2017,2ARISEA//11//9//2017,-1,0,-1,4,4,1,0,2,6,1,0,2,6,0,2,1,0,-1,5,3,0,1,3,5,0,2,3,5,0,1
ARI,11/26/2017,1,0,JAC,27,24,0,11,11,12,6,-6,37.5,2017,11,26,2017,2ARIJAC//11//26//2017,1,1,1,4,6,0,2,2.5,7.5,0,1,3,7,1,0,-1,-1,1,7,3,4,0,6,4,1,0,5,5,0,4
ARI,12/3/2023,0,0,PIT ,24,10,0,13,12,13,6,-6,41,2023,12,3,2023,2PIT ARI//12//3//2023,1,1,-1,2,10,0,2,6.5,5.5,0,1,7,5,1,0,-1,-1,-1,7,4,1,0,7,4,1,0,2,9,0,2
ATL,10/9/2011,1,0,GB,14,25,0,5,5,5,6,-6,53.5,2011,10,9,2011,2ATLGB//10//9//2011,-1,-1,-1,2,2,1,0,1,3,0,2,3,1,1,0,1,1,-1,4,0,4,0,3,1,2,0,2,2,1,0
ATL,12/21/2014,0,0,NO,30,14,0,15,15,16,6,-6,56,2014,12,21,2014,1NOATL//12//21//2014,1,1,-1,5,9,0,2,6,8,0,1,6,8,0,1,-1,-1,-1,6,8,1,0,6,8,1,0,9,5,0,1
ATL,10/5/2020,0,0,GB ,16,30,0,4,4,4,6,-6,56.5,2020,10,5,2020,2GB ATL//10//5//2020,-1,-1,-1,0,3,0,3,1,2,0,1,3,0,3,0,1,1,-1,3,0,3,0,3,0,3,0,2,1,3,0
ATL,12/20/2020,1,0,TB ,27,31,0,14,14,15,6,-6,49.5,2020,12,20,2020,1ATLTB //12//20//2020,-1,1,1,4,9,0,2,5,8,0,2,5,8,0,4,1,-1,1,8,5,1,0,7,6,2,0,6.5,6.5,0,2
ATL,11/7/2021,0,0,NO ,27,25,0,8,8,9,6,-6,42,2021,11,7,2021,2NO ATL//11//7//2021,1,1,1,3,4,0,1,2,5,0,2,4,3,0,1,-1,-1,1,5,2,3,0,4,3,1,0,4,3,1,0
ATL,12/8/2024,0,0,MIN ,21,42,0,13,13,14,6,-6,46.5,2024,12,8,2024,2MIN ATL//12//8//2024,-1,-1,1,6,6,0,3,5,7,0,3,4,8,0,4,1,1,1,10,2,5,0,7.5,4.5,0,1,5,7,0,1
BAL,9/29/2008,0,0,PIT,20,23,1,3,4,4,6,-6,34.5,2008,9,29,2008,1PITBAL//9//29//2008,-1,1,1,2,0,2,0,2,0,2,0,1,1,1,0,1,-1,1,2,1,0,1,1,2,0,2,1,2,0,2
BAL,11/30/2015,0,0,CLE,33,27,0,11,11,12,6,-6,41,2015,11,30,2015,1CLEBAL//11//30//2015,1,1,1,3,7,1,0,2,8,0,2,5,5,0,2,-1,-1,1,2,8,0,5,4,6,0,4,7,3,0,2
BAL,12/12/2016,0,0,NE,23,30,0,13,13,14,6,-6,45,2016,12,12,2016,1NEBAL//12//12//2016,-1,-1,1,7,5,2,0,6,6,2,0,4.5,7.5,1,0,1,1,1,10,2,3,0,9,3,1,0,5,7,0,3
BAL,12/10/2017,0,0,PIT,38,39,0,13,13,14,6,-6,43,2017,12,10,2017,1PITBAL//12//10//2017,-1,1,1,7,5,3,0,6.5,5.5,1,0,7,5,1,0,1,-1,1,10,2,7,0,6,6,0,2,5,7,3,0
BUF,12/3/2006,1,0,LAC,21,24,0,12,12,13,6,-6,41,2006,12,3,2006,2BUFLAC//12//3//2006,-1,1,1,5,6,2,0,7,4,4,0,4,7,2,0,1,-1,1,9,2,5,0,7,4,0,1,8,3,0,1
BUF,12/21/2008,0,0,DEN,30,23,0,15,15,16,6,-6,45,2008,12,21,2008,1DENBUF//12//21//2008,1,1,1,6,8,0,3,6,8,1,0,7.5,6.5,1,0,-1,-1,1,8,6,0,1,4.5,9.5,0,2,6.5,7.5,0,2
BUF,10/13/2013,1,0,CIN,24,27,1,6,6,6,6,-6,41,2013,10,13,2013,2BUFCIN//10//13//2013,-1,1,1,2,3,0,1,3,2,0,1,3,2,1,0,1,-1,1,3,2,1,0,3.5,1.5,1,0,2,3,0,2
BUF,10/20/2013,0,0,MIA,23,21,0,7,6,7,6,-6,43.5,2013,10,20,2013,1MIABUF//10//20//2013,1,1,1,2,4,0,2,4,2,1,0,4,2,2,0,-1,-1,1,3,2,0,2,3,2,0,2,5,0,4,0
BUF,10/7/2018,1,0,TEN,13,12,0,5,5,5,6,-6,38.5,2018,10,7,2018,2BUFTEN//10//7//2018,1,1,-1,1,3,0,1,1,3,0,1,2,2,0,2,-1,-1,-1,3,1,3,0,3,1,3,0,1,3,1,0
